SKU ,DESCRIÇÃO ,FAMILIA 
1045100,13.00-24TT 14(G-2/L-2) PN14,AGRO
1045200,14.00-24TT 16(G-2/L-2) PN14,AGRO
1127200,16.9-28TT 10R-1 TM95,AGRO
1127300,7.50-16TT 12I-1 RA45,AGRO
1127400,10.5/80-18TT 12I-1 RA45,AGRO
1187700,24.5-32TL 14R-1 TM95,AGRO
1187900,21L-30TL 12R-1 MB39,AGRO
1188000,30.5L-32TL 12R-1 MB39,AGRO
1232910,12.4-28TT 6R-1 TM99,AGRO
1236600,18.4-26TT 10R-1 TM95,AGRO
1236700,18.4-26TT 12R-1 TM95,AGRO
1318600,30.5L-32TL 14R-1 MB39,AGRO
1325300,11L-15TL 10I-1 RA45,AGRO
1325400,11L-15TL 12I-1 RA45,AGRO
1347500,18.00-33TL 32(E-4) RM99-D,AGRO
1347600,18.00-33TL 36(E-4) RM99-D,AGRO
1347800,23.5-25TL 20(L-5) RM99SD,AGRO
1348200,29.5-25TL 28(E-3) RM99-E,AGRO
1348400,29.5-29TL 28(E-3) RM99-E,AGRO
1348800,17.5-25TL 12(L-3) RM99-L,AGRO
1348900,17.5-25TL 16(L-3) RM99-L,AGRO
1349000,20.5-25TL 12(L-3) RM99-L,AGRO
1349100,20.5-25TL 16(L-3) RM99-L,AGRO
1349200,20.5-25TL 20(L-3) RM99-L,AGRO
1349400,23.5-25TL 16(L-3) RM99-L,AGRO
1349500,23.5-25TL 20(L-3) RM99-L,AGRO
1410800,29.5-25TL 28(L-3) RM99-L,AGRO
1470900,12.4-24TT 4R-1 PIVOT TM95,AGRO
1480500,11.00-20TT 18(C-1) COMP BG200,AGRO
1488000,18.4-30TT 6 PD22LU,AGRO
1491700,16.9-24TT 135A6 10R-1 TM95,AGRO
1553300,19.5L-24TL 10 PN12,AGRO
1553400,12.5/80-18TL 135A8 10 PN12,AGRO
1560100,250/80-18TL 120A6 12R-1 TM75,AGRO
1569900,18.00-25TL 40(IND-4) RM96,AGRO
1572900,14.00-24TL 16(G-2/L-2) PN14,AGRO
1630100,18.4-38TT 14R-2 PD22,AGRO
1636800,400/60-15.5TL 14I-3 HF75,AGRO
1681600,400/60-15.5TL 16I-1(RA28) 428,AGRO
1706300,6.00-9TT 12 CI84,AGRO
1706400,7.00-12TT 12 CI84,AGRO
1706500,6.50-10TT 10 CI84,AGRO
1706600,7.50-15TT 10 CI84,AGRO
1706700,8.25-15TT 12 CI84,AGRO
1707400,30.5L-32TL 16R-1 MB39,AGRO
1776600,19.5L-24TL 151A8 12 PN12,AGRO
1779400,23.5R25TL 185B **(E-3)+ RM100E,AGRO
1779500,23.5R25TL 195A2 *(L-3)+ RM100L,AGRO
1779600,20.5R25TL 177B **(E-3)+ RM100E,AGRO
1779700,20.5R25TL 186A2 *(L-3)+ RM100L,AGRO
1837800,600/50-22.5TL 165A8(153A8)I-3HF75,AGRO
1838100,14.9-24TT 6R-1 TM75,AGRO
1838200,14.9-24TT 8R-1 TM75,AGRO
1838300,12.4-36TT 6R-1 TM75,AGRO
1838400,12.4-36TT 10R-1 TM75,AGRO
1838500,12.4-36TT 12R-1 TM75,AGRO
1838600,13.6-38TT 6R-1 TM75,AGRO
1838700,28X9-15TT 14 CI84,AGRO
1838800,14.00R24TL 169B (E-3) RM100E,AGRO
1839000,14.00R25TL 169B RM100E,AGRO
1951300,6.00-16TT 8I-1 RA45,AGRO
1951400,12.4-36TL 12R-1 TM75,AGRO
1979000,35/65-33STEEL BREAKERTL42L5RM9,AGRO
1993000,16.9-24TT 132A8 8R-1 TM95,AGRO
1994500,900/60R32176A8(176B)EARTAGRPHT,AGRO
1995100,23.1-30TL 12R-3 TM85,AGRO
1995200,10-16.5TL 10 PN16,AGRO
1995300,12-16.5TL 10 PN16,AGRO
2056800,14.9-26TT 8R-1 TM95,AGRO
2064800,16.9-34TT 6R-1 TM95,AGRO
2064900,12.4-36TL 10R-1 TM75,AGRO
2065000,13.6-38TT 14R-1 TM75,AGRO
2065100,12.4-38TT 14R-1 TM93,AGRO
2065200,12.4-38TT 6R-1 TM75,AGRO
2065300,12.4-28TT 6R-1 TM75,AGRO
2065400,14.9-28TT 8(R-1) TM75,AGRO
207400,7.50-18TT 8F-3 -CT65,AGRO
207500,7.50-18TT 10F-3 -CT65,AGRO
208300,17.5-25TL 12(G-2/L-2) PN12,AGRO
208400,17.5-25TL 16(G-2/L-2) PN12,AGRO
2094000,11L-16TL 12F-3 CT85,AGRO
2099100,14.9-28TT 6R-1 TM75,AGRO
2099200,12.4-38TT 14(R-1) TM75,AGRO
210000,18.00R25TL 185B **(E-3) RM94-B,AGRO
210100,15.5R25TL 152B *(E-3) RM94-B,AGRO
210700,16.00R25TL 177B **(E-3) RM94-B,AGRO
210800,14.00-24 20(E-3) RM95-E,AGRO
210900,14.00-24 24(E-3) RM95-E,AGRO
211000,14.00-24 28(E-3) RM95-E,AGRO
211100,16.00-25TL 24(E-3) RM95-E,AGRO
211200,16.00-25TL 28(E-3) RM95-E,AGRO
2162200,18.4-34TT 8R-2 PD22,AGRO
2162300,18.4-26TT 10R-2 PD22,AGRO
2162400,20.8-38TT 10R-2 PD22,AGRO
2169800,16.00-25TL 32(E-4) RM95-D,AGRO
2169900,420/85R28TL 139A8(139B)R-1WPHP:85,AGRO
2169904,420/85R28TL 139A8(139B)R-1WPHP:85,AGRO
2169905,420/85R28TL 139A8(139B)R-1WPHP:85,AGRO
2170000,520/85R38TL 155A8(155B)R-1WPHP:85,AGRO
2170004,520/85R38TL 155A8(155B)R-1WPHP:85,AGRO
2170005,520/85R38TL 155A8(155B)R-1WPHP:85,AGRO
2203200,420/85R30TL 140A8(140B)R-1WPHP:85,AGRO
2203204,420/85R30TL 140A8(140B)R-1WPHP:85,AGRO
2203205,420/85R30TL 140A8(140B)R-1WPHP:85,AGRO
2203300,520/85R42TL 157A8(157B)R-1WPHP:85,AGRO
2203304,520/85R42TL 157A8(157B)R-1WPHP:85,AGRO
2203310,520/85R42TL 157A8(157B)R-1WPHP,AGRO
2203400,710/70R42TL 173A8(173B)R-1WPHP:70,AGRO
2203700,380/80R38TL 142A8(142B)R-1WPHP:1N,AGRO
2203704,380/80R38TL 142A8(142B)R-1WPHP:1N,AGRO
2203705,380/80R38TL 142A8(142B)R-1WPHP:1N,AGRO
2222300,12.4-36TT 14R-1 TM75,AGRO
2246600,28.1-26TL 12R-1 MB39,AGRO
2267800,710/70R38TL 166A8(166B)R-1WPHP:70,AGRO
2267805,710/70R38TL 166A8(166B)R-1WPHP:70,AGRO
2268000,600/65R28TL 147A8(147B)R-1WPHP:65,AGRO
2268004,600/65R28TL 147A8(147B)R-1WPHP:65,AGRO
2271700,600/50R22.5TL 159DI-3 HF85 R,AGRO
2271800,16.9-24TL 145A8 10 PN12,AGRO
2271900,400/55-22.5TL 152A8(140A8)I-3HF75,AGRO
2272000,800/65R32TL 172A8(172B)R-1WPHP:1H,AGRO
2272004,800/65R32TL 172A8(172B)R-1WPHP:1H,AGRO
2272005,800/65R32TL 172A8(172B)R-1WPHP,AGRO
2272100,900/60R32TL 176A8(176B)R-1WPHP:1H,AGRO
2272104,900/60R32TL 176A8(176B)R-1WPHP:1H,AGRO
2272105,900/60R32TL 176A8(176B)R-1WPHP:1H,AGRO
2272200,380/90R46TL 157A8(157B)R-1WPHP:1N,AGRO
2272204,380/90R46TL 157A8(157B)R-1WPHP:1N,AGRO
2272205,380/90R46TL 157A8(157B)R-1WPHP:1N,AGRO
2272300,320/90R46TL 157A8(157B)R-1WPHP:1N,AGRO
2272304,320/90R46TL 157A8(157B)R-1WPHP:1N,AGRO
2277600,17.5R25176A2(157B)(E-3/L-3) RM100,AGRO
2324100,250/80-18TL 8R-1 TM75,AGRO
2324600,20.8-38TT 14R-1 TM95,AGRO
2389300,18.4-30TT 10(R1) -VA,AGRO
2389400,18.4-34TT 10(R1) -VA,AGRO
2389500,14.9-24TT 8(R1) -VA,AGRO
2389600,14.9-28TT 8(R1) -VA,AGRO
2389700,480/70R34TL 155A8(155B)R-1WPHP:70,AGRO
2389704,480/70R34TL 155A8(155B)R-1WPHP:70,AGRO
2389705,480/70R34TL 155A8(155B)R-1WPHP:70,AGRO
2420600,500/45-22.5TL 154A8(142A8)I-3HF75,AGRO
2422400,23.1-26TL 12R-3 TM85,AGRO
2434300,24.5-32TT 16LS-2 TF:01,AGRO
2434400,18.4-26TT 10LS-2 TF:01,AGRO
2434500,30.5L-32TL 26LS-2 TF:01,AGRO
2469400,18.4-30TL 8R-1 TM95,AGRO
2469405,18.4-30TL 8R-1 TM95,AGRO
2483300,14.9-24TL 8R-1 TM95,AGRO
2483305,14.9-24TL 8R-1 TM95,AGRO
2483310,14.9-24TL 8R-1 TM95,AGRO
2502700,620/70R42TL 166A8(166B)R1W PHP:70,AGRO
2513600,750/65R26TL 166A8(166B)R-1WPHP:65,AGRO
2513604,750/65R26TL 166A8(166B)R-1WPHP:65,AGRO
2513605,750/65R26TL 166A8(166B)R-1WPHP:65,AGRO
2513700,650/85R38TL 173A8(173B)R-1WPHP:85,AGRO
2532000,320/85R36TL 128A8(128B)R-1WPHP:1N,AGRO
2532004,320/85R36TL 128A8(128B)R-1WPHP:1N,AGRO
2532005,320/85R36TL 128A8(128B)R-1WPHP:1N,AGRO
2532100,460/85R30TL 145A8(145B)R-1WPHP:85,AGRO
2532104,460/85R30TL 145A8(145B)R-1WPHP:85,AGRO
2532200,460/85R34TL 147A8(147B)R-1WPHP:85,AGRO
2532204,460/85R34TL 147A8(147B)R-1WPHP:85,AGRO
2547400,18.00-25TL A5 40IND-4 RM98S,AGRO
2565100,24.5-32TL 10R-1 TM95,AGRO
2565110,24.5-32TL 10R-1 TM95,AGRO
2565200,23.1-30TL 10R-1 TM95,AGRO
2565205,23.1-30TL 10R-1 TM95,AGRO
2565210,23.1-30TL 10R-1 TM95,AGRO
2565300,18.4-26TL 10R-1 TM95,AGRO
2565310,18.4-26TL 10R-1 TM95,AGRO
2619000,18.4-26TL 145A6 12R-1 TM95,AGRO
2653200,600/65R34TL 157DR-1W PHP:65,AGRO
2653204,600/65R34TL 157DR-1W PHP:65,AGRO
2653205,600/65R34TL 157DR-1W PHP:65,AGRO
2653300,540/65R30TL 150DR-1W PHP:65,AGRO
2653304,540/65R30TL 150DR-1W PHP:65,AGRO
2653305,540/65R30TL 150DR-1W PHP:65,AGRO
2653400,6.00-12TT 6R-1 TM75,AGRO
2653500,540/65R28TL 142DR-1W PHP:65,AGRO
2653504,540/65R28TL 142DR-1W PHP:65,AGRO
2653505,540/65R28TL 142DR-1W PHP:65,AGRO
2653600,520/85R42TL 157A8(157B)R-2 PDR:22,AGRO
2653604,520/85R42TL 157A8(157B)R-2 PDR:22,AGRO
2653900,650/75R32TL 172D 20R-1W PHP:75,AGRO
2653904,650/75R32TL 172D 20R-1W PHP:75,AGRO
2684400,12.4-24TL 6R-1 TM95,AGRO
2684600,14.9-24TL 6R-1 TM95,AGRO
2684800,600/70R30TL 158DR-1W PHP:70,AGRO
2684804,600/70R30TL 158DR-1W PHP:70,AGRO
2684805,600/70R30TL 158DR-1W PHP:70,AGRO
2685000,710/70R42TL 173DR-1W PHP:70,AGRO
2685004,710/70R42TL 173DR-1W PHP:70,AGRO
2685005,710/70R42TL 173DR-1W PHP:70,AGRO
2693400,600/65R28TL 154DR-1W PHP:65,AGRO
2693404,600/65R28TL 154DR-1W PHP:65,AGRO
2693405,600/65R28TL 154DR-1W PHP:65,AGRO
2693500,710/70R38TL 171DR-1W PHP:70,AGRO
2693504,710/70R38TL 171DR-1W PHP:70,AGRO
2695100,650/85R38TL 173DR-1W PHP:85,AGRO
2695104,650/85R38TL 173DR-1W PHP:85,AGRO
2695105,650/85R38TL 173DR-1W PHP:85,AGRO
2695200,650/65R38TL 157DR-1W PHP:65,AGRO
2695204,650/65R38TL 157DR-1W PHP:65,AGRO
2695205,650/65R38TL 157DR-1W PHP:65,AGRO
2695300,620/70R42TL 166DR-1W PHP:70,AGRO
2695304,620/70R42TL 166DR-1W PHP:70,AGRO
2695305,620/70R42TL 166DR-1W PHP:70,AGRO
2695400,480/70R30TL 147DR-1W PHP:70,AGRO
2695404,480/70R30TL 147DR-1W PHP:70,AGRO
2695405,480/70R30TL 147DR-1W PHP:70,AGRO
2695500,5.00-12TT 6R-1 TM75,AGRO
2700100,14.9-28TT 10R-2 PD22,AGRO
2714400,800/70R38TL 178DR-1W PHP:70,AGRO
2714404,800/70R38TL 178DR-1W PHP:70,AGRO
2714405,800/70R38TL 178DR-1W PHP:70,AGRO
2734500,710/75R42TL 175DR-1W PHP:75,AGRO
2734504,710/75R42TL 175DR-1W PHP:75,AGRO
2734700,420/90R30TL 147A8(147B)R-2 PDR:22,AGRO
2734704,420/90R30TL 147A8(147B)R-2 PDR:22,AGRO
2734705,420/90R30TL 147A8(147B)R-2 PDR:22,AGRO
2778700,600/70R34TL 160DR-1W PHP:70,AGRO
2778704,600/70R34TL 160DR-1W PHP:70,AGRO
2778705,600/70R34TL 160DR-1W PHP:70,AGRO
2780600,18.4-34TL 10R-1 TM95,AGRO
2780700,18.4-38TL 10R-1 TM95,AGRO
2780800,14.9-28TL 8R-1 TM95,AGRO
2780810,14.9-28TL 8R-1 TM95,AGRO
2792700,15.5-38TL 8R-1 TM95,AGRO
2795400,IF710/75R42TL 176DR-1W PHE:75,AGRO
2795404,IF710/75R42TL 176DR-1W PHE:75,AGRO
2795500,IF650/65R34TL 161DR-1W PHE:65,AGRO
2795504,IF650/65R34TL 161DR-1W PHE:65,AGRO
2799400,650/65R42TL 158DR-1W PHP:65,AGRO
2799404,650/65R42TL 158DR-1W PHP:65,AGRO
2799405,650/65R42TL 158DR-1W PHP:65,AGRO
2823200,460/85R38TL 149A8(149B)R-1WPHP:85,AGRO
2823204,460/85R38TL 149A8(149B)R-1WPHP:85,AGRO
2823205,460/85R38TL 149A8(149B)R-1WPHP:85,AGRO
2823300,380/85R24TL 131A8(131B)R-1WPHP:85,AGRO
2823304,380/85R24TL 131A8(131B)R-1WPHP:85,AGRO
2823305,380/85R24TL 131A8(131B)R-1WPHP:85,AGRO
2823400,320/85R24TL 122A8(122B)R-1WPHP:85,AGRO
2823404,320/85R24TL 122A8(122B)R-1WPHP:85,AGRO
2823405,320/85R24TL 122A8(122B)R-1WPHP:85,AGRO
2823500,400/75R38TL 138DR-1W PHP:75,AGRO
2823600,380/85R28TL 133A8(133B)R-1WPHP:85,AGRO
2823604,380/85R28TL 133A8(133B)R-1WPHP:85,AGRO
2823700,12.4-24TT 8R-2 PD22,AGRO
2823800,13.6-24TT 6R-2 PD22,AGRO
2823900,23.1-34TT 10R-2 PD22,AGRO
2824000,23.1-26TL 161A6 18R-3 TM85,AGRO
2824100,23.1-30TL 16R-3 TM85,AGRO
2824200,14.9-24TT 6R-1 PIVOT TM95,AGRO
2858200,400/55-22.5TL 159A8(147A8)I-3HF75,AGRO
2906700,710/70R38TL 171DR-1W E PHP:70,AGRO
2906704,710/70R38TL 171DR-1W E PHP:70,AGRO
2906705,710/70R38TL 171DR-1W E PHP:70,AGRO
2906800,710/70R42TL 173DR-1W E PHP:70,AGRO
2906804,710/70R42TL 173DR-1W E PHP:70,AGRO
2906805,710/70R42TL 173DR-1W E PHP:70,AGRO
297200,14.9-28TT 6R-1 TM95,AGRO
297300,18.4-34TT 10R-1 TM95,AGRO
297400,18.4-34TT 8R-1 TM95,AGRO
297500,18.4-34TT 12R-1 TM95,AGRO
297600,14.9-28TT 8R-1 TM95,AGRO
297700,9.5-24TT 6R-1 TM95,AGRO
297800,12.4-24TT 6R-1 TM95,AGRO
297900,14.9-24TT 6R-1 TM95,AGRO
298000,14.9-24TT 8R-1 TM95,AGRO
298100,14.9-26TT 6R-1 TM95,AGRO
298200,18.4-30TT 8R-1 TM95,AGRO
298300,18.4-30TT 10R-1 TM95,AGRO
298400,18.4-30TT 148A6 12R-1 TM95,AGRO
298500,23.1-30TT 10R-1 TM95,AGRO
298600,24.5-32TT 10R-1 TM95,AGRO
298700,20.8-38TT 12R-1 TM95,AGRO
3117300,380/80R38TL 155DR-1W PHP:1N,AGRO
3381104,460/85R26TL 143A8R-1W PHP:85,AGRO
3381300,480/70R28TL 140DR-1W PHP:70,AGRO
3381304,480/70R28TL 140DR-1W PHP:70,AGRO
3381400,600/65R38TL 153DR-1W PHP:65,AGRO
3381404,600/65R38TL 153DR-1W PHP:65,AGRO
3381500,580/70R38TL 155DR-1W PHP:70,AGRO
3381504,580/70R38TL 155DR-1W PHP:70,AGRO
3381600,480/65R28TL 136DR-1W PHP:65,AGRO
3381604,480/65R28TL 136DR-1W PHP:65,AGRO
3381700,520/70R38TL 150DR-1W PHP:70,AGRO
3381704,520/70R38TL 150DR-1W PHP:70,AGRO
3381800,420/70R28TL 133DR-1W PHP:70,AGRO
3381804,420/70R28TL 133DR-1W PHP:70,AGRO
3574700,12.4-24TL A6 10R-1 TM95,AGRO
3574800,9.5-24TL A6 8R-1 TM95,AGRO
3574900,16.9-28TL 138A6 10R-1 TM95,AGRO
3575000,20.8-38TL A6 10R-1 TM95,AGRO
3575100,14.9-26TL A6 8R-1 TM95,AGRO
3575200,16.9-24TL A6 8R-1 TM95,AGRO
3575300,13.6-38TL A6 8R-1 TM75,AGRO
3601600,520/85R42TL 162A8(162B)R-1W PHP:85,AGRO
3601604,520/85R42TL 162A8(162B)R-1W PHP:85,AGRO
3739200,12-16.5TT 10 PN16,AGRO
3739600,IF380/80R38TL 155DR-1W PHP:1N,AGRO
3739604,IF380/80R38TL 155DR-1W PHP:1N,AGRO
3769100,13.6-38TL 14R-1 TM75,AGRO
3784100,IF380/90R46TL 157DR-1W PHP:1N,AGRO
3784104,IF380/90R46TL 157DR-1W PHP:1N,AGRO
3788000,480/70R34TL 143DR-1W PHP:70,AGRO
3788004,480/70R34TL 143DR-1W PHP:70,AGRO
3834800,18.4-30TL 10R-1 TM95,AGRO
3954700,14.9-28TT 8(R1) A.VA,AGRO
3954800,18.4-30TT 10(R1) A.VA,AGRO
3954900,18.4-34TT 10(R1) A.VA,AGRO
3992500,460/85R26TL 143A8(143B)R-1W PHP:85,AGRO
4148800,320/85R36TL 138A8(138B) R-1W PHP:1N,AGRO
4148804,320/85R36TL 138A8(138B) R-1W PHP:1N,AGRO
4148900,480/70R30TL 141D R-1W PHP:70,AGRO
4148904,480/70R30TL 141D R-1W PHP:70,AGRO
4150600,14.9-24TL 135A6 12R-1 TM95,AGRO
4150700,14.9-28 TL 10 R-1 TM95,AGRO
4150800,16.9-30 TL 10 R-1 TM95,AGRO
4187000,20.5R25TL 177B(186A2)(E-3/L-3) RM100,AGRO
4187100,23.5R25TL 185B(195A2)(E-3/L-3) RM100,AGRO
428500,16.00-25TL 28(E-4) RM95-D,AGRO
430300,13.00-24TT 10(G-2/L-2) PN14,AGRO
430400,13.00-24TT 12(G-2/L-2) PN14,AGRO
430500,14.00-24TT 10(G-2/L-2) PN14,AGRO
430600,14.00-24TL 10(G-2/L-2) PN14,AGRO
430700,14.00-24TT 12(G-2/L-2) PN14,AGRO
430900,13.00-24TL 12(G-2/L-2) PN14,AGRO
431000,14.00-24TL 12(G-2/L-2) PN14,AGRO
433300,10.5/65-16TT 8(RA28) 428,AGRO
439900,14.9-28TT 6R-2 PD22,AGRO
440000,18.4-30TT 6R-2 PD22,AGRO
440100,23.1-26TT 10R-2 PD22,AGRO
440200,23.1-26TT 12R-2 PD22,AGRO
440300,18.4-30TT 8R-2 PD22,AGRO
440400,14.9-24TT 6R-2 PD22,AGRO
445700,6-12TT 4 TG22,AGRO
6009800,500/45-22.5TL 154A8(142A8) I-3 PLUS HF75,AGRO
708600,23.1-26TL 14R-1 MB39,AGRO
743000,14.9-28TT 8R-2 PD22,AGRO
743200,14.9-24TT 8R-2 PD22,AGRO
743400,16.00-24TL 16(G-2/L-2) PN12,AGRO
780000,23.1-30TT 10R-2 PD22,AGRO
780100,23.1-30TT 12R-1 TM95,AGRO
780200,7.50-16TT 6I-1 RA45,AGRO
780300,7.50-16TT 10I-1 RA45,AGRO
780400,6.00-16TT 6I-1 RA45,AGRO
780500,10.5/80-18TT 6I-1 RA45,AGRO
780600,10.5/80-18TT 10I-1 RA45,AGRO
780700,11L-15TT 10I-1 RA45,AGRO
841700,14.9-26TT 12R-1 TM95,AGRO
841800,16.9-30TT 6R-1 TM95,AGRO
841900,16.9-30TT 8R-1 TM95,AGRO
842000,24.5-32TT 12R-1 TM95,AGRO
842100,28.1-26TL 14R-1 MB39,AGRO
842200,20.8-38TT 10R-1 TM95,AGRO
892900,10.5/65-16TT 10I-1(RA28) 428,AGRO
919000,12.4-28TT 6R-1 TM95,AGRO
919200,7.50-18TT 6I-1 RA45,AGRO
919400,7.50-20TT 6I-1 RA45,AGRO
919500,7.50-20TT 8I-1 RA45,AGRO
937500,18.4-34TT 6R-1 TM95,AGRO
971200,12.4-24TT 124A6 10R-1 TM95,AGRO
972300,18.4-38TT 10R-1 TM95,AGRO
972400,18.4-38TT 12R-1 TM95,AGRO
993900,16.9-28TT 6 TM95,AGRO
994000,16.9-28TT 8R-1 TM95,AGRO
995000,15.5-38TT 6R-1 TM95,AGRO
995100,15.5-38TT 8R-1 TM95,AGRO
175500,6.00-14CTT 97/95L 8 -LT84,TRUCK
175600,6.50-14CTT 8 -LT84,TRUCK
175700,7.50-16TT 12 -AS22,TRUCK
175800,6.50-16CTT 6 -AS22,TRUCK
190400,10.00-20TT 16 -AS22,TRUCK
190600,11.00-20TT 16 -AS22,TRUCK
190900,12.00-20TT 18 -AS22,TRUCK
192100,10.00-20TT 146/143J 16 -TR20,TRUCK
192300,11.00-20TT 149/145J 16 -TR20,TRUCK
192500,12.00-20TT 154/149J 18 -TR20,TRUCK
450300,9.00-20TT 14 -RT59,TRUCK
450500,11.00-20TT 16 -RT59,TRUCK
450600,11.00-22TT 16 -RT59,TRUCK
451000,11.00-20TT 16 -LU78,TRUCK
451200,12.00-20TT 18 -LU78,TRUCK
451300,10.00-20TT 16 -LU78,TRUCK
451400,14.00-20TL 18 -MT85,TRUCK
452600,12.00-20TT 18 -CT65,TRUCK
467200,7.00-16CTT 10 -RT59,TRUCK
467300,7.50-16CTT 10 -RT59,TRUCK
468000,7.50-16CTT 8 -MT85,TRUCK
469400,6.50-16CTT 10 -CT52,TRUCK
469500,6.50-16CTT 6 -CT52,TRUCK
469600,6.50-16CTT 8 -CT52,TRUCK
469700,7.00-16CTT 8 -CT52,TRUCK
469800,7.00-16CTT 10 -CT52,TRUCK
470000,7.50-16CTT 10 -CT52,TRUCK
470100,7.50-16TT 12 -CT52,TRUCK
856900,11.00R22TT 150/146LSTEELVG C.D,TRUCK
970300,7.00-15CTT 10 -CT52,TRUCK
971300,7.50-16TL 12 -CT52,TRUCK
1029705,295/80R22.5152/148MENERGY TR T,TRUCK
1186200,215/75R17.5TL 126/124MM+S MC45,TRUCK
1186210,215/75R17.5TL 126/124MM S MC45,TRUCK
1186215,215/75R17.5TL 126/124MM+S MC45,TRUCK
1204400,12.00R24TT 160/156K TG85,TRUCK
1241700,9.00-20TT 140/137J 14(A) -AS22,TRUCK
1288500,12R22.5TL 152/148L TG85,TRUCK
1293600,10.00R20TT 146/143K FG85,TRUCK
1293611,10.00R20TT 146/143K FG85,TRUCK
1293911,10.00R20TT 146/143K TG85,TRUCK
1320800,315/80R22.5TL156/150L(154M)AMF,TRUCK
1320805,315/80R22.5TL156/150L(154M)AMFH85,TRUCK
1324600,6.50-16CTT 10 -MT06M,TRUCK
1324800,10.00-20TT 146/143J 16 -CT75,TRUCK
1325000,11.00-22TT 150/146J 16 -CT75,TRUCK
1334300,11.00R20TT 150/146K FG85,TRUCK
1345400,7.50-16CTT 122/118J 14 -AS22,TRUCK
1345500,7.50-16CTT 122/118J 14 -CT52,TRUCK
1387100,295/80R22.5TL 152/148L FG85,TRUCK
1387110,295/80R22.5TL 152/148L FG85,TRUCK
1387300,295/80R22.5TL 152/148M TR85,TRUCK
1387310,295/80R22.5TL 152/148M TR85,TRUCK
